"h","window","pI","D","fD","Het","RD","Q95","Q90","Qmax","U0","U20","U50","U80"
"hs","60","0","0.33","0.06","0.01","0.08","0.08","0.08","0.08","0.09","0.06","0.05","0.05"
"hs","61","0","0.36","0.08","0.03","0.06","0.08","0.08","0.08","0.04","0.05","0.07","0.05"
"hs","62","0","0.34","0.07","0.01","0.08","0.08","0.08","0.08","0.07","0.08","0.06","0.05"
"hs","63","0","0.35","0.06","0.01","0.07","0.07","0.07","0.08","0.06","0.05","0.06","0.05"
"hs","64","0","0.33","0.07","0.01","0.07","0.08","0.08","0.08","0.07","0.05","0.05","0.05"
"hs","65","0","0.31","0.07","0","0.08","0.08","0.08","0.08","0.08","0.06","0.07","0.05"
"hs","66","0.1","0.32","0.06","0.01","0.06","0.08","0.08","0.08","0.06","0.04","0.05","0.05"
"hs","67","0.1","0.23","0.07","0","0.08","0.08","0.08","0.08","0.07","0.03","0.08","0.06"
"hs","68","0.09","0.35","0.06","0.01","0.08","0.05","0.05","0.04","0.06","0.05","0.04","0.04"
"hs","69","0","0.34","0.07","0.01","0.07","0.05","0.05","0.04","0.05","0.03","0.06","0.04"
"hs","70","0","0.35","0.07","0.01","0.08","0.05","0.05","0.04","0.05","0.04","0.04","0.04"
"hs","71","0","0.37","0.05","0.01","0.07","0.05","0.05","0.04","0.05","0.06","0.06","0.04"
"hs","72","0.09","0.25","0.05","0","0.07","0.07","0.07","0.07","0.08","0.04","0.05","0.04"
"hs","73","0.09","0.26","0.07","0.01","0.06","0.06","0.06","0.06","0.05","0.04","0.05","0.03"
"hs","74","0.08","0.26","0.06","0.01","0.06","0.06","0.06","0.05","0.05","0.07","0.07","0.03"
"hs","75","0.07","0.11","0.06","0","0.08","0.07","0.06","0.07","0.02","0.04","0.06","0.03"
"hs","76","0","0.3","0.07","0.03","0.08","0.06","0.06","0.06","0.1","0.08","0.05","0.03"
"hs","77","0","0.3","0.08","0","0.07","0.06","0.06","0.06","0.07","0.07","0.06","0.03"
"hs","78","0.09","0.03","0.06","0","0.07","0.11","0.11","0.13","0.03","0.03","0.06","0.05"
"hs","79","0.09","0.24","0.08","0.01","0.08","0.09","0.09","0.09","0.03","0.05","0.09","0.05"
"hs","80","0.08","0.19","0.05","0","0.07","0.08","0.07","0.08","0.06","0.03","0.07","0.05"
"hs","81","0.06","0.04","0.05","0.01","0.07","0.09","0.09","0.09","0.03","0.06","0.07","0.04"
"hs","82","0.1","0.22","0.09","0","0.1","0.1","0.1","0.09","0.06","0.06","0.08","0.05"
"hs","83","0.1","0.06","0.09","0","0.1","0.1","0.1","0.1","0.04","0.04","0.07","0.05"
"hs","84","0.1","0.19","0.06","0","0.09","0.1","0.09","0.1","0.02","0.04","0.08","0.05"
"hs","85","0.11","0.23","0.09","0.03","0.09","0.1","0.1","0.1","0.04","0.04","0.09","0.04"
"hs","86","0.1","0.23","0.08","0","0.08","0.11","0.1","0.11","0.02","0.02","0.09","0.04"
